ANES70Q,Critical Illness: Patients; Physicians; and Society,UG,MED,,Satisfactory/No Credit,3,Active
ANES72Q,The Art of Medical Diagnosis: Enhancing Observational Skills through the Study of Art,UG,MED,WAY-CE,Letter or Credit/No Credit,3,Active
ANES80Q,Researching Strange Things,UG,MED,,Letter or Credit/No Credit,3,Active
ANES199,Undergraduate Research,UG,MED,,Letter or Credit/No Credit,18,Active
ANES202,Anesthesiology and Pathophysiologic Implications for the Perioperative Patient,MED,MED,,Medical School MD Grades,1,Active
ANES203,Evaluating New Health Care Ventures: An Everyone Included¿ Approach,MED,MED,,Medical Option (Med-Ltr-CR/NC),2,Active
ANES204,Medical Education in the New Millenium: Innovation and Digital Disruption,GR,MED,,Medical Option (Med-Ltr-CR/NC),2,Active
ANES205,Engage and Empower Me: Myths and Truths of Designing for Patient Behavior,GR,MED,,Medical Option (Med-Ltr-CR/NC),3,Active
ANES206,3D Printing and Biofabrication,GR,MED,,Medical Option (Med-Ltr-CR/NC),2,Active
ANES207,Medical Acupuncture,MED,MED,,Medical Satisfactory/No Credit,2,Active
ANES208A,Data Science for Digital Health and Precision Medicine,GR,MED,,Medical Option (Med-Ltr-CR/NC),2,Active
ANES215,Journal Club for Neuroscience; Behavior and Cognition Scholarly Concentration,MED,MED,,Medical School MD Grades,1,Active
ANES243,Introduction to Integrative Medicine (FAMMED 243),MED,MED,,Medical School MD Grades,1,Active
ANES280,Early Clinical Experience in Anesthesia,MED,MED,,Medical School MD Grades,2,Active
ANES299,Directed Reading in Anesthesiology,MED,MED,,Medical School MD Grades,18,Active
ANES370,Medical Scholars Research,MED,MED,,Medical School MD Grades,18,Active
ANES399,Graduate Research,GR,MED,,Medical Satisfactory/No Credit,18,Active
BIOC109A,The Human Genome and Disease (BIO 109A; BIOC 209A; HUMBIO 158),UG,MED,WAY-SMA||GER: DB-NatSci,Letter or Credit/No Credit,3,Active
BIOC109B,The Human Genome and Disease: Genetic Diversity and Personalized Medicine (BIO 109B),UG,MED,WAY-SMA||GER: DB-NatSci,Letter or Credit/No Credit,3,Active
BIOC199,Undergraduate Research,UG,MED,,Letter or Credit/No Credit,18,Active
BIOC200,Applied Biochemistry,MED,MED,,Medical School MD Grades,2,Active
BIOC202,Biochemistry Bootcamp,GR,MED,,Satisfactory/No Credit,1,Active
BIOC205,Molecular Foundations of Medicine,MED,MED,,Medical School MD Grades,4,Active
BIOC209A,The Human Genome and Disease (BIO 109A; BIOC 109A; HUMBIO 158),GR,MED,,Letter or Credit/No Credit,3,Active
BIOC215,Frontiers in Biological Research (DBIO 215; GENE 215),GR,MED,,Medical Satisfactory/No Credit,1,Active
BIOC221,The Teaching of Biochemistry,GR,MED,,Medical Satisfactory/No Credit,3,Active
BIOC224,Advanced Cell Biology (BIO 214; MCP 221),GR,MED,,Medical Option (Med-Ltr-CR/NC),4,Active
BIOC236,Biology by the Numbers (APPPHYS 236),GR,MED,,Medical Option (Med-Ltr-CR/NC),3,Active
BIOC241,Biological Macromolecules (BIOE 241; BIOPHYS 241; SBIO 241),GR,MED,,Medical Option (Med-Ltr-CR/NC),5,Active
BIOC257,Currents in Biochemistry,GR,MED,,Medical Satisfactory/No Credit,1,Active
BIOC299,Directed Reading in Biochemistry,GR,MED,,Medical Satisfactory/No Credit,18,Active
BIOC350,Development of Thesis Research,GR,MED,,Satisfactory/No Credit,2,Active
BIOC360,Developing an Original Research Proposal,GR,MED,,Medical Satisfactory/No Credit,1,Active
BIOC370,Medical Scholars Research,MED,MED,,Medical School MD Grades,18,Active
BIOC399,Graduate Research and Special Advanced Work,GR,MED,,Medical Satisfactory/No Credit,18,Active
BIOC459,Frontiers in Interdisciplinary Biosciences (BIO 459; BIOE 459; CHEM 459; CHEMENG 459; PSYCH 459),GR,MED,,Medical Satisfactory/No Credit,1,Active
BIOC801,TGR Project,GR,MED,,TGR,0,Active
BIOC802,TGR Dissertation,GR,MED,,TGR,0,Active
BIODS210,Configuration of the US Healthcare System and the Application of Big Data/Analytics,GR,MED,,Medical Satisfactory/No Credit,2,Active
BIODS215,Topics in Biomedical Data Science: Large-scale inference,GR,MED,,Medical Option (Med-Ltr-CR/NC),3,Active
BIODS231,Survival Analysis (STATS 331),GR,MED,,Medical Option (Med-Ltr-CR/NC),2,Active
BIODS237,Deep Learning in Genomics and Biomedicine (BIOMEDIN 273B; CS 273B; GENE 236),GR,MED,,Medical Option (Med-Ltr-CR/NC),3,Active
BIODS260A,Workshop in Biostatistics (STATS 260A),GR,MED,,Medical Satisfactory/No Credit,2,Active
BIODS260B,Workshop in Biostatistics (STATS 260B),GR,MED,,Medical Satisfactory/No Credit,2,Active
BIODS260C,Workshop in Biostatistics (STATS 260C),GR,MED,,Medical Satisfactory/No Credit,2,Active
BIODS299,Directed Reading and Research,GR,MED,,Medical Option (Med-Ltr-CR/NC),18,Active
BIOMEDIN156,Economics of Health and Medical Care (BIOMEDIN 256; ECON 126; HRP 256),UG,MED,WAY-SI,Medical Option (Med-Ltr-CR/NC),5,Active
BIOMEDIN200,Biomedical Informatics Colloquium,GR,MED,,Medical Satisfactory/No Credit,1,Active
BIOMEDIN201,Biomedical Informatics Student Seminar,GR,MED,,Medical Satisfactory/No Credit,1,Active
BIOMEDIN205,Precision Practice with Big Data,GR,MED,,Medical Satisfactory/No Credit,1,Active
BIOMEDIN206,Informatics in Industry,GR,MED,,Medical Satisfactory/No Credit,1,Active
BIOMEDIN207,Digital Medicine: How health IT is changing the practice of medicine,GR,MED,,Medical Satisfactory/No Credit,1,Active
BIOMEDIN208,Clinical Informatics Literature Review Seminar,GR,MED,,Medical Satisfactory/No Credit,1,Active
BIOMEDIN210,Modeling Biomedical Systems: Ontology; Terminology; Problem Solving (CS 270),GR,MED,,Letter or Credit/No Credit,3,Active
BIOMEDIN212,Introduction to Biomedical Informatics Research Methodology (BIOE 212; CS 272; GENE 212),GR,MED,,Medical Option (Med-Ltr-CR/NC),5,Active
BIOMEDIN214,Representations and Algorithms for Computational Molecular Biology (BIOE 214; CS 274; GENE 214),GR,MED,,Medical Option (Med-Ltr-CR/NC),4,Active
BIOMEDIN215,Data Driven Medicine,GR,MED,,Medical Option (Med-Ltr-CR/NC),3,Active
BIOMEDIN216,Representations and Algorithms for Molecular Biology: Lectures,GR,MED,,Medical Satisfactory/No Credit,2,Active
BIOMEDIN217,Translational Bioinformatics (BIOE 217; CS 275),GR,MED,,Medical Option (Med-Ltr-CR/NC),4,Active
BIOMEDIN218,Translational Bioinformatics Lectures,GR,MED,,Medical Option (Med-Ltr-CR/NC),2,Active
BIOMEDIN219,Mathematical Models and Medical Decisions,GR,MED,,Medical Option (Med-Ltr-CR/NC),3,Active
BIOMEDIN224,Principles of Pharmacogenomics (GENE 224),GR,MED,,Medical Option (Med-Ltr-CR/NC),3,Active
BIOMEDIN225,Data Driven Medicine: Lectures,GR,MED,,Medical Option (Med-Ltr-CR/NC),2,Active
BIOMEDIN227SI,Computational Methods for the Modern Biologist,GR,MED,,Medical Satisfactory/No Credit,1,Active
BIOMEDIN233,Intermediate Biostatistics: Analysis of Discrete Data (HRP 261; STATS 261),GR,MED,,Medical Option (Med-Ltr-CR/NC),3,Active
BIOMEDIN245,Statistical and Machine Learning Methods for Genomics (BIO 268; CS 373; GENE 245; STATS 345),GR,MED,,Medical Option (Med-Ltr-CR/NC),3,Active
BIOMEDIN251,Outcomes Analysis (HRP 252; MED 252),GR,MED,,Medical Option (Med-Ltr-CR/NC),4,Active
BIOMEDIN256,Economics of Health and Medical Care (BIOMEDIN 156; ECON 126; HRP 256),GR,MED,,Medical Option (Med-Ltr-CR/NC),5,Active
BIOMEDIN260,Computational Methods for Biomedical Image Analysis and Interpretation (RAD 260),GR,MED,,Medical Option (Med-Ltr-CR/NC),4,Active
BIOMEDIN273A,A Computational Tour of the Human Genome (CS 273A; DBIO 273A),GR,MED,,Letter or Credit/No Credit,3,Active
BIOMEDIN273B,Deep Learning in Genomics and Biomedicine (BIODS 237; CS 273B; GENE 236),GR,MED,,Medical Option (Med-Ltr-CR/NC),3,Active
BIOMEDIN279,Computational Biology: Structure and Organization of Biomolecules and Cells (BIOE 279; BIOPHYS 279; CME 279; CS 279),GR,MED,,Letter or Credit/No Credit,3,Active
BIOMEDIN290,Biomedical Informatics Teaching Methods,GR,MED,,Medical Option (Med-Ltr-CR/NC),6,Active
BIOMEDIN299,Directed Reading and Research,GR,MED,,Medical Option (Med-Ltr-CR/NC),18,Active
BIOMEDIN370,Medical Scholars Research,MED,MED,,Medical School MD Grades,18,Active
BIOMEDIN371,Computational Biology in Four Dimensions (BIOPHYS 371; CME 371; CS 371),GR,MED,,Letter or Credit/No Credit,3,Active
BIOMEDIN390A,Curricular Practical Training,GR,MED,,Medical Satisfactory/No Credit,1,Active
BIOMEDIN390B,Curricular Practical Training,GR,MED,,Medical Satisfactory/No Credit,1,Active
BIOMEDIN390C,Curricular Practical Training,GR,MED,,Medical Satisfactory/No Credit,1,Active
BIOMEDIN432,Analysis of Costs; Risks; and Benefits of Health Care (HRP 392),GR,MED,,Medical Option (Med-Ltr-CR/NC),4,Active
BIOMEDIN801,TGR Master's Project,GR,MED,,TGR,0,Active
BIOMEDIN802,TGR PhD Dissertation,GR,MED,,TGR,0,Active
BIOS200,Foundations in Experimental Biology,GR,MED,,Satisfactory/No Credit,5,Active
BIOS201,Next Generation Sequencing and Applications,GR,MED,,Medical Option (Med-Ltr-CR/NC),2,Active
BIOS202,Hippocampal Field Potentials; an Introduction to CNS in Vitro Electrophysiology,GR,MED,,Letter or Credit/No Credit,3,Active
BIOS203,Introduction to Atomistic Simulations for Biochemical Applications,GR,MED,,Letter or Credit/No Credit,3,Active
BIOS204,Practical Tutorial on the Modeling of Signal Transduction Motifs,GR,MED,,Medical Satisfactory/No Credit,3,Active
BIOS205,Introduction to R,GR,MED,,Medical Satisfactory/No Credit,1,Active
BIOS206,Stem Cells and Regeneration:  Transitioning from Basic Research to Clinical Therapies,GR,MED,,Medical Option (Med-Ltr-CR/NC),2,Active
BIOS207,Interdisciplinary Approaches to Biochemistry: Single Molecule Biophysics to Clinical Outcomes,GR,MED,,Medical Satisfactory/No Credit,1,Active
BIOS208,Computational Macromolecule Structure Modeling,GR,MED,,Medical Option (Med-Ltr-CR/NC),2,Active
BIOS209,Practical Protein NMR Structure Determination,GR,MED,,Letter or Credit/No Credit,2,Active
BIOS210,Axonal Transport and Neurodegenerative Diseases,GR,MED,,Medical Option (Med-Ltr-CR/NC),1,Active
BIOS211,Histology for Biosciences,GR,MED,,Medical Satisfactory/No Credit,1,Active
BIOS212,Plant Genetics: Large Scale Experiments and Clonal Analysis,GR,MED,,Letter or Credit/No Credit,2,Active
BIOS213,Scientific Illustration and Animation,GR,MED,,Medical Option (Med-Ltr-CR/NC),1,Active
BIOS214,Molecules & Math,GR,MED,,Letter or Credit/No Credit,1,Active
BIOS215,Transplantation Immunology and Tolerance,GR,MED,,Medical Option (Med-Ltr-CR/NC),2,Active
BIOS216,Structural Biology and Vaccine Design,GR,MED,,Satisfactory/No Credit,1,Active
BIOS217,The Ultimate Face Book: Understanding Normal and Abnormal Craniofacial Development,GR,MED,,Medical Option (Med-Ltr-CR/NC),1,Active
BIOS218,Molecular basis of membrane traffic,GR,MED,,Medical Option (Med-Ltr-CR/NC),2,Active
BIOS219,Human Gene Regulation: Genomic Thinking and Genomic Tools for Experimentalists,GR,MED,,Letter or Credit/No Credit,1,Active
BIOS220,Adventures in the Human Virosphere,GR,MED,,Satisfactory/No Credit,3,Active
BIOS221,Modern Statistics for Modern Biology (STATS 366),GR,MED,,Letter or Credit/No Credit,3,Active
BIOS222,Authentic Courage for Constructive Change: Skills and Practice for Leadership,GR,MED,,Medical Satisfactory/No Credit,1,Active
BIOS223,Introduction to Quantitative Reasoning in Biology,GR,MED,,Medical Satisfactory/No Credit,2,Active
BIOS224,Big Topics in Stem Cell Ethics,GR,MED,,Medical Option (Med-Ltr-CR/NC),2,Active
BIOS225,Diversity and Inclusion in Science,GR,MED,,Medical Satisfactory/No Credit,1,Active
BIOS226,Introduction to Force Spectroscopy,GR,MED,,Letter or Credit/No Credit,1,Active
BIOS227,Mass Spectrometry and Proteomics: Opening the Black Box,GR,MED,,Satisfactory/No Credit,2,Active
BIOS228,Understanding Chemistry in Biology and Biological Experiments,GR,MED,,Medical Option (Med-Ltr-CR/NC),2,Active
BIOS229,Drug Discovery and Development Project Simulation,GR,MED,,Credit/No Credit,2,Active
BIOS230,Biomedical Data Analysis in MATLAB,GR,MED,,Medical Option (Med-Ltr-CR/NC),2,Active
BIOS231,Neuroimaging Genomics,GR,MED,,Medical Option (Med-Ltr-CR/NC),3,Active
BIOS232,Two-photon Imaging of Neural Circuits,GR,MED,,Medical Satisfactory/No Credit,2,Active
BIOS233,Experimental Metagenomics: Nectar Microbes as a Model System,GR,MED,,Letter (ABCD/NP),3,Active
BIOS234,Personalized Genomic Medicine,GR,MED,,Medical Option (Med-Ltr-CR/NC),1,Active
BIOS235,Metabolism and Metabolic Ecology: Microbes; Gut and Cancer,GR,MED,,Medical Option (Med-Ltr-CR/NC),2,Active
BIOS236,Developmental Biology in the Ocean: Comparative Embryology and Larval Development,GR,MED,,Medical Option (Med-Ltr-CR/NC),4,Active
BIOS237,Investigating Biology with Fluorescent Proteins,GR,MED,,Medical Option (Med-Ltr-CR/NC),1,Active
BIOS238,Quantitative single cell analysis of live cell images,GR,MED,,Satisfactory/No Credit,1,Active
BIOS239,Synapse Development,GR,MED,,Medical Satisfactory/No Credit,3,Active
BIOS240,Cellular Metabolism: An Emerging Hallmark of Cancer and Aging,GR,MED,,Medical Satisfactory/No Credit,1,Active
BIOS241,Dissecting algorithms for RNA Sequencing,GR,MED,,Medical Satisfactory/No Credit,2,Active
BIOS242,Writing Compelling Fellowships and Career Development Awards,GR,MED,,Satisfactory/No Credit,2,Active
BIOS243,Grant Writing Academy Mini Course: Specific Aims,GR,MED,,Medical Option (Med-Ltr-CR/NC),1,Active
BIOS244,Computer Applications in Pharmaceutical Research and Development,GR,MED,,Medical Option (Med-Ltr-CR/NC),1,Active
BIOS245,The Immune Response to Infectious Diseases,GR,MED,,Medical Satisfactory/No Credit,1,Active
BIOS246,Introduction to Meta-Analysis,GR,MED,,Medical Option (Med-Ltr-CR/NC),4,Active
BIOS247,Neuro-Cellular Core,GR,MED,,Medical Option (Med-Ltr-CR/NC),2,Active
BIOS248,Scientific Computing for Ecologists; Biologists and Environmental Scientists,GR,MED,,Medical Satisfactory/No Credit,3,Active
BIOS249,Interactive Microbiology,GR,MED,,Medical Satisfactory/No Credit,1,Active
BIOS250,Interdisciplinary Drug Discovery,GR,MED,,Medical Satisfactory/No Credit,1,Active
BIOS251,Biotechnology in the Natural World (SBIO 251),GR,MED,,Medical Satisfactory/No Credit,1,Active
BIOS252,Experimental strategies for understanding plant-environmental responses,GR,MED,,Medical Option (Med-Ltr-CR/NC),1,Active
BIOS253,Discovery and Innovation in Emerging Viral Infections,GR,MED,,Medical Satisfactory/No Credit,1,Active
BIOS254,DataLucence::Images,GR,MED,,Medical Option (Med-Ltr-CR/NC),2,Active
BIOS255,Promises and Pitfalls: A Critical Evaluation of Neuroscience Techniques,GR,MED,,Medical Satisfactory/No Credit,1,Active
BIOS256,SCULPTURAL DATA ILLUSTRATIONS,GR,MED,,Medical Option (Med-Ltr-CR/NC),1,Active
BIOS257,HIV: The virus; the disease; the research,GR,MED,,Medical Satisfactory/No Credit,1,Active
BIOS258,Ethics; Science; and Society,GR,MED,,Medical Satisfactory/No Credit,1,Active
BIOS259,Statistical Genetics of Complex Traits,GR,MED,,Medical Satisfactory/No Credit,1,Active
BIOS260,Principles of Quantitative Biological Microscopy and Image Analysis,GR,MED,,Medical Option (Med-Ltr-CR/NC),2,Active
BIOS261,Plant anatomy and cellular structure:  fundamental concepts to interpret data,GR,MED,,Medical Option (Med-Ltr-CR/NC),2,Active
BIOS262,Learning to Fly: Drosophila Research Methods,GR,MED,,Medical Option (Med-Ltr-CR/NC),1,Active
